ID_Angajat,Manager,Departament,Senioritate,Oras,Data,Ore_Lucrate,Proiecte_Finalizate,Feedback_Clienti,Training_Ore,Scor_Performanta,Risc_Plecare_Scor,Status_Risc
1031,Maria I.,IT,Mid,Iasi,2023-01-01,219,14,4.1,0,331.5,0.0,Potential
1032,George R.,IT,Mid,Constanta,2023-01-01,194,1,3.4,12,175.0,0.0,Stabil
1033,Andrei P.,Marketing,Mid,Timisoara,2023-01-01,258,7,2.8,3,255.0,1.0,Risc Ridicat
1034,George R.,Vanzari,Junior,Brasov,2023-01-01,196,7,4.6,32,260.0,0.0,Stabil
1035,Maria I.,Marketing,Senior,Iasi,2023-01-01,204,7,4.2,23,306.0,0.0,Potential
1036,Cristina D.,Vanzari,Junior,Bucuresti,2023-01-01,181,11,2.4,5,248.5,0.0,Stabil
1037,Maria I.,HR,Junior,Cluj-Napoca,2023-01-01,201,13,2.1,17,272.5,1.0,Risc Ridicat
1038,Mihai O.,IT,Mid,Cluj-Napoca,2023-01-01,196,14,3.1,18,300.0,0.0,Stabil
1039,Mihai O.,IT,Mid,Bucuresti,2023-01-01,255,11,2.7,4,291.5,1.0,Risc Ridicat
1040,Cristina D.,HR,Senior,Constanta,2023-01-01,142,8,3.2,25,265.0,0.0,Stabil
1041,Elena D.,HR,Junior,Brasov,2023-01-01,226,1,1.6,16,155.0,1.0,Risc Ridicat
1042,Andrei P.,IT,Senior,Iasi,2023-01-01,159,11,1.2,19,263.5,0.0,Stabil
1043,Andrei P.,IT,Junior,Iasi,2023-01-01,243,11,4.6,16,323.5,0.0,Potential
1044,Ana S.,HR,Senior,Brasov,2023-01-01,217,11,4.8,16,364.5,0.0,Potential
1045,Andrei P.,IT,Senior,Timisoara,2023-01-01,145,2,2.2,34,186.5,0.0,Stabil
1046,George R.,IT,Senior,Brasov,2023-01-01,184,6,1.5,29,232.0,0.0,Stabil
1047,Cristina D.,Vanzari,Junior,Bucuresti,2023-01-01,155,3,1.9,22,145.5,0.0,Stabil
1048,Andrei P.,IT,Senior,Constanta,2023-01-01,215,11,4.3,39,353.5,0.0,Potential
1049,Cristina D.,Vanzari,Mid,Constanta,2023-01-01,210,4,4.0,31,225.0,0.0,Stabil
1050,Andrei P.,Vanzari,Mid,Cluj-Napoca,2023-01-01,240,2,1.2,20,164.0,1.0,Risc Ridicat
1051,Mihai O.,Marketing,Junior,Brasov,2023-01-01,152,7,2.9,28,204.0,0.0,Stabil
1052,Ana S.,HR,Senior,Timisoara,2023-01-01,153,11,1.2,8,260.5,0.0,Stabil
1053,Cristina D.,IT,Junior,Brasov,2023-01-01,233,14,1.1,12,278.5,1.0,Risc Ridicat
1054,Cristina D.,Marketing,Senior,Bucuresti,2023-01-01,161,13,4.3,20,346.5,0.0,Potential
1055,George R.,HR,Junior,Brasov,2023-01-01,186,3,1.4,16,151.0,0.0,Stabil
1056,Elena D.,Vanzari,Mid,Timisoara,2023-01-01,247,10,1.2,13,247.5,1.0,Risc Ridicat
1057,Maria I.,Marketing,Mid,Brasov,2023-01-01,168,11,2.6,32,246.0,0.0,Stabil
1058,Cristina D.,Marketing,Senior,Cluj-Napoca,2023-01-01,160,7,4.3,23,286.0,0.0,Stabil
1059,Elena D.,IT,Junior,Bucuresti,2023-01-01,210,14,4.5,13,335.0,0.0,Potential
1060,Andrei P.,HR,Senior,Iasi,2023-01-01,154,12,1.7,27,281.0,0.0,Stabil
1061,Elena D.,Marketing,Junior,Iasi,2023-01-01,196,9,3.1,19,250.0,0.0,Stabil
1062,George R.,Vanzari,Senior,Cluj-Napoca,2023-01-01,159,13,3.6,20,331.5,0.0,Potential
1063,Cristina D.,HR,Senior,Sibiu,2023-01-01,219,1,1.8,21,205.5,0.8,Risc Ridicat
1064,Maria I.,HR,Mid,Bucuresti,2023-01-01,247,6,1.6,32,215.5,0.8,Risc Ridicat
1065,Elena D.,Vanzari,Junior,Brasov,2023-01-01,199,5,4.1,24,231.5,0.0,Stabil
1066,Ion V.,IT,Junior,Brasov,2023-01-01,173,3,1.9,1,154.5,0.0,Stabil
1067,Cristina D.,Vanzari,Mid,Iasi,2023-01-01,173,5,2.0,35,176.5,0.0,Stabil
1068,Mihai O.,Vanzari,Junior,Timisoara,2023-01-01,151,8,1.3,5,181.5,0.0,Stabil
1069,Ana S.,HR,Senior,Iasi,2023-01-01,244,13,3.7,10,376.0,0.0,Potential
1070,Elena D.,HR,Junior,Constanta,2023-01-01,184,10,2.7,26,246.0,0.0,Stabil
1071,Ion V.,Vanzari,Mid,Timisoara,2023-01-01,183,3,2.9,12,179.5,0.0,Stabil
1072,Mihai O.,IT,Mid,Iasi,2023-01-01,251,1,2.2,20,179.5,1.0,Risc Ridicat
1073,Ion V.,HR,Junior,Brasov,2023-01-01,233,10,4.5,7,306.5,0.0,Potential
1074,Ion V.,Marketing,Mid,Brasov,2023-01-01,143,6,1.5,29,161.5,0.0,Stabil
1075,Maria I.,Marketing,Senior,Iasi,2023-01-01,179,7,4.2,28,293.5,0.0,Stabil
1076,Ion V.,HR,Mid,Bucuresti,2023-01-01,250,2,4.4,4,233.0,0.0,Stabil
1077,Ana S.,Vanzari,Mid,Constanta,2023-01-01,217,3,4.7,23,232.5,0.0,Stabil
1078,Maria I.,Marketing,Mid,Timisoara,2023-01-01,242,9,3.1,4,273.0,0.0,Stabil
1079,Elena D.,Marketing,Mid,Timisoara,2023-01-01,143,8,1.8,22,187.5,0.0,Stabil
1080,Ion V.,Marketing,Junior,Iasi,2023-01-01,198,8,4.5,16,269.0,0.0,Stabil
1081,Elena D.,Vanzari,Junior,Constanta,2023-01-01,191,6,3.5,11,225.5,0.0,Stabil
1082,Ana S.,IT,Junior,Constanta,2023-01-01,172,8,1.6,13,198.0,0.0,Stabil
1083,George R.,Marketing,Mid,Sibiu,2023-01-01,186,5,2.5,1,193.0,0.0,Stabil
1084,Ion V.,Vanzari,Mid,Constanta,2023-01-01,148,2,2.7,23,148.0,0.0,Stabil
1085,George R.,Vanzari,Junior,Cluj-Napoca,2023-01-01,149,8,2.6,23,206.5,0.0,Stabil
1086,Maria I.,IT,Mid,Sibiu,2023-01-01,153,8,4.5,2,246.5,0.0,Stabil
1087,Cristina D.,Vanzari,Mid,Sibiu,2023-01-01,203,10,2.3,27,247.5,0.8,Risc Ridicat
1088,Cristina D.,Vanzari,Junior,Timisoara,2023-01-01,199,1,1.3,5,135.5,0.0,Stabil
1089,Ana S.,Marketing,Mid,Timisoara,2023-01-01,255,3,4.9,23,255.5,0.0,Stabil
1090,Elena D.,IT,Senior,Timisoara,2023-01-01,219,14,1.1,25,321.5,0.8,Risc Ridicat
1091,Cristina D.,HR,Mid,Brasov,2023-01-01,145,3,1.2,38,126.5,0.0,Stabil
1092,Maria I.,HR,Junior,Iasi,2023-01-01,173,14,2.2,22,270.5,0.0,Stabil
1093,Ana S.,IT,Junior,Iasi,2023-01-01,187,1,3.5,13,173.5,0.0,Stabil
1094,Mihai O.,Vanzari,Mid,Timisoara,2023-01-01,169,12,5.0,31,304.5,0.0,Potential
1095,Elena D.,IT,Mid,Cluj-Napoca,2023-01-01,219,6,4.6,13,261.5,0.0,Stabil
1096,Andrei P.,IT,Junior,Constanta,2023-01-01,202,2,1.8,25,157.0,0.8,Risc Ridicat
1097,Mihai O.,IT,Senior,Iasi,2023-01-01,165,4,4.8,37,268.5,0.0,Stabil
1098,Andrei P.,IT,Senior,Brasov,2023-01-01,256,9,2.6,22,320.0,0.8,Risc Ridicat
1099,Mihai O.,IT,Junior,Iasi,2023-01-01,240,8,3.1,22,262.0,0.0,Stabil
1100,Cristina D.,Marketing,Junior,Iasi,2023-01-01,183,5,3.3,32,207.5,0.0,Stabil
1101,Mihai O.,Vanzari,Junior,Brasov,2023-01-01,186,14,3.4,5,301.0,0.0,Potential
1102,Ana S.,Marketing,Mid,Constanta,2023-01-01,234,2,4.8,24,233.0,0.0,Stabil
1103,Maria I.,Marketing,Senior,Timisoara,2023-01-01,208,3,4.5,27,274.0,0.0,Stabil
1104,Ana S.,Vanzari,Junior,Sibiu,2023-01-01,195,9,3.7,3,261.5,0.0,Stabil
1105,Cristina D.,HR,Junior,Cluj-Napoca,2023-01-01,254,8,4.2,9,291.0,0.0,Stabil
1106,George R.,Marketing,Mid,Brasov,2023-01-01,248,8,3.5,4,274.0,0.0,Stabil
1107,Maria I.,IT,Mid,Sibiu,2023-01-01,209,10,2.3,20,250.5,1.0,Risc Ridicat
1108,Ion V.,HR,Senior,Bucuresti,2023-01-01,181,1,1.0,30,170.5,0.0,Stabil
1109,George R.,Marketing,Junior,Iasi,2023-01-01,181,11,2.8,9,256.5,0.0,Stabil
1110,Elena D.,Marketing,Junior,Constanta,2023-01-01,154,10,4.4,11,265.0,0.0,Stabil
1111,Ion V.,IT,Junior,Bucuresti,2023-01-01,187,9,1.3,21,209.5,0.0,Stabil
1112,Cristina D.,IT,Mid,Iasi,2023-01-01,143,8,1.4,30,179.5,0.0,Stabil
1113,Elena D.,Vanzari,Mid,Sibiu,2023-01-01,255,3,4.3,5,243.5,0.0,Stabil
1114,George R.,Marketing,Senior,Constanta,2023-01-01,204,1,1.8,0,198.0,1.0,Risc Ridicat
1115,Ion V.,Marketing,Senior,Sibiu,2023-01-01,163,14,1.0,17,291.5,0.0,Stabil
1116,Elena D.,HR,Junior,Brasov,2023-01-01,220,11,2.4,31,268.0,0.8,Risc Ridicat
1117,George R.,IT,Mid,Brasov,2023-01-01,182,13,2.6,25,273.0,0.0,Stabil
1118,Cristina D.,Marketing,Senior,Iasi,2023-01-01,224,7,3.6,6,304.0,0.0,Potential
1119,Mihai O.,Marketing,Mid,Timisoara,2023-01-01,228,1,2.8,28,180.0,0.8,Risc Ridicat
1120,Maria I.,HR,Junior,Iasi,2023-01-01,244,11,4.9,5,330.0,0.0,Potential
1121,Cristina D.,IT,Mid,Timisoara,2023-01-01,229,3,1.4,31,172.5,0.8,Risc Ridicat
1122,George R.,Marketing,Senior,Cluj-Napoca,2023-01-01,244,4,1.9,0,250.0,1.0,Risc Ridicat
1123,Ana S.,Vanzari,Junior,Sibiu,2023-01-01,252,5,3.5,33,246.0,0.0,Stabil
1124,Ana S.,Vanzari,Mid,Constanta,2023-01-01,150,14,3.7,17,289.0,0.0,Stabil
1125,Maria I.,Marketing,Junior,Iasi,2023-01-01,218,11,1.2,15,243.0,1.0,Risc Ridicat
1126,Elena D.,Marketing,Junior,Constanta,2023-01-01,250,13,3.6,4,327.0,0.0,Potential
1127,Ion V.,IT,Senior,Brasov,2023-01-01,237,8,3.6,13,320.5,0.0,Potential
1128,Mihai O.,Vanzari,Junior,Sibiu,2023-01-01,205,5,4.4,20,240.5,0.0,Stabil
1129,Ana S.,IT,Senior,Constanta,2023-01-01,148,6,3.8,10,260.0,0.0,Stabil
1130,Elena D.,Vanzari,Mid,Sibiu,2023-01-01,154,13,4.8,20,303.0,0.0,Potential
1131,Ana S.,Vanzari,Mid,Constanta,2023-01-01,241,14,1.7,16,294.5,1.0,Risc Ridicat
1132,Andrei P.,IT,Senior,Sibiu,2023-01-01,168,2,1.7,32,188.0,0.0,Stabil
1133,Maria I.,Marketing,Junior,Timisoara,2023-01-01,220,10,2.0,22,250.0,0.8,Risc Ridicat
1134,Mihai O.,IT,Junior,Sibiu,2023-01-01,157,9,3.2,25,232.5,0.0,Stabil
1135,George R.,IT,Junior,Cluj-Napoca,2023-01-01,202,3,1.3,24,157.0,0.8,Risc Ridicat
1136,Ion V.,IT,Senior,Iasi,2023-01-01,167,5,2.1,33,225.5,0.0,Stabil
1137,Elena D.,IT,Mid,Constanta,2023-01-01,173,6,4.3,36,232.5,0.0,Stabil
1138,Maria I.,Marketing,Mid,Constanta,2023-01-01,154,11,2.0,18,227.0,0.0,Stabil
1139,Maria I.,Marketing,Mid,Brasov,2023-01-01,255,3,3.5,24,227.5,0.0,Stabil
1140,Elena D.,HR,Mid,Brasov,2023-01-01,161,12,1.4,6,228.5,0.0,Stabil
1141,George R.,IT,Junior,Iasi,2023-01-01,165,3,1.7,18,146.5,0.0,Stabil
1142,Ion V.,IT,Mid,Iasi,2023-01-01,236,3,1.7,4,182.0,1.0,Risc Ridicat
1143,Mihai O.,HR,Junior,Sibiu,2023-01-01,240,14,4.6,29,352.0,0.0,Potential
1144,Elena D.,Marketing,Mid,Cluj-Napoca,2023-01-01,204,9,1.1,38,214.0,0.8,Risc Ridicat
1145,Mihai O.,Marketing,Mid,Constanta,2023-01-01,224,6,3.2,33,236.0,0.0,Stabil
1146,Ana S.,HR,Junior,Cluj-Napoca,2023-01-01,146,3,3.0,4,163.0,0.0,Stabil
1147,Cristina D.,Vanzari,Senior,Timisoara,2023-01-01,216,1,1.3,34,194.0,0.8,Risc Ridicat
1148,Andrei P.,IT,Mid,Sibiu,2023-01-01,235,12,3.2,29,301.5,0.0,Potential
1149,Ana S.,Vanzari,Junior,Constanta,2023-01-01,183,10,1.5,30,221.5,0.0,Stabil
1150,Elena D.,Marketing,Senior,Iasi,2023-01-01,234,3,1.1,13,219.0,1.0,Risc Ridicat
1151,Maria I.,Vanzari,Junior,Bucuresti,2023-01-01,180,6,2.6,24,202.0,0.0,Stabil
1152,Cristina D.,Vanzari,Junior,Constanta,2023-01-01,208,13,2.6,14,286.0,1.0,Risc Ridicat
1153,Maria I.,Marketing,Senior,Cluj-Napoca,2023-01-01,185,3,2.4,17,220.5,0.0,Stabil
1154,Mihai O.,IT,Mid,Brasov,2023-01-01,164,6,1.7,7,176.0,0.0,Stabil
1155,Mihai O.,Vanzari,Mid,Sibiu,2023-01-01,190,7,3.8,13,241.0,0.0,Stabil
1156,Mihai O.,IT,Junior,Sibiu,2023-01-01,176,2,4.8,24,204.0,0.0,Stabil
1157,Maria I.,Marketing,Mid,Cluj-Napoca,2023-01-01,202,6,4.5,12,251.0,0.0,Stabil
1158,Ana S.,IT,Junior,Bucuresti,2023-01-01,255,11,2.7,35,291.5,0.8,Risc Ridicat
1159,Ana S.,Vanzari,Junior,Brasov,2023-01-01,192,3,4.1,8,208.0,0.0,Stabil
1160,Mihai O.,Marketing,Junior,Bucuresti,2023-01-01,149,1,1.6,0,116.5,0.0,Stabil
1161,Mihai O.,Marketing,Junior,Brasov,2023-01-01,219,4,4.8,32,245.5,0.0,Stabil
1162,Cristina D.,Vanzari,Junior,Brasov,2023-01-01,214,6,2.9,3,225.0,1.0,Risc Ridicat
1163,Cristina D.,IT,Senior,Timisoara,2023-01-01,170,2,3.1,3,217.0,0.0,Stabil
1164,George R.,HR,Mid,Sibiu,2023-01-01,210,4,4.9,31,243.0,0.0,Stabil
1165,Mihai O.,HR,Senior,Brasov,2023-01-01,246,8,3.8,6,329.0,0.0,Potential
1166,Elena D.,IT,Junior,Sibiu,2023-01-01,230,13,3.0,34,305.0,0.0,Potential
1167,Maria I.,HR,Junior,Iasi,2023-01-01,198,5,1.6,1,181.0,0.0,Stabil
1168,Ana S.,HR,Junior,Bucuresti,2023-01-01,237,12,3.1,8,300.5,0.0,Potential
1169,George R.,HR,Junior,Iasi,2023-01-01,197,1,1.2,12,132.5,0.0,Stabil
1170,Ion V.,Vanzari,Senior,Sibiu,2023-01-01,200,9,4.6,24,332.0,0.0,Potential
1171,Cristina D.,HR,Junior,Cluj-Napoca,2023-01-01,250,12,4.0,37,325.0,0.0,Potential
1172,George R.,HR,Junior,Bucuresti,2023-01-01,204,3,1.1,34,154.0,0.8,Risc Ridicat
1173,Andrei P.,IT,Mid,Brasov,2023-01-01,226,11,2.1,5,265.0,1.0,Risc Ridicat
1174,Cristina D.,HR,Senior,Constanta,2023-01-01,233,12,2.7,18,340.5,1.0,Risc Ridicat
1175,Mihai O.,HR,Junior,Constanta,2023-01-01,171,7,4.9,13,253.5,0.0,Stabil
1176,Andrei P.,Marketing,Mid,Cluj-Napoca,2023-01-01,162,13,1.1,3,233.0,0.0,Stabil
1177,Mihai O.,Vanzari,Junior,Sibiu,2023-01-01,230,7,2.0,16,225.0,1.0,Risc Ridicat
1178,Ana S.,IT,Mid,Brasov,2023-01-01,143,1,2.6,3,133.5,0.0,Stabil
1179,Ion V.,HR,Junior,Iasi,2023-01-01,192,3,4.3,23,212.0,0.0,Stabil
1180,Mihai O.,HR,Mid,Iasi,2023-01-01,149,7,5.0,22,244.5,0.0,Stabil
1181,Andrei P.,HR,Junior,Cluj-Napoca,2023-01-01,233,14,3.4,38,324.5,0.0,Potential
1182,George R.,Vanzari,Mid,Brasov,2023-01-01,200,12,3.2,8,284.0,0.0,Stabil
1183,Maria I.,Vanzari,Senior,Brasov,2023-01-01,182,1,1.4,31,179.0,0.0,Stabil
1184,Mihai O.,Marketing,Senior,Brasov,2023-01-01,141,9,3.6,16,282.5,0.0,Stabil
1185,Maria I.,Vanzari,Mid,Sibiu,2023-01-01,155,3,2.0,2,147.5,0.0,Stabil
1186,Ana S.,IT,Junior,Timisoara,2023-01-01,247,10,2.4,23,271.5,0.8,Risc Ridicat
1187,Andrei P.,IT,Mid,Iasi,2023-01-01,178,6,2.8,5,205.0,0.0,Stabil
1188,Andrei P.,HR,Junior,Constanta,2023-01-01,205,11,1.8,27,248.5,0.8,Risc Ridicat
1189,Ion V.,IT,Mid,Brasov,2023-01-01,150,6,2.5,27,185.0,0.0,Stabil
1190,Cristina D.,Marketing,Senior,Cluj-Napoca,2023-01-01,226,14,4.4,27,391.0,0.0,Potential
1191,Maria I.,HR,Mid,Constanta,2023-01-01,203,6,1.4,15,189.5,1.0,Risc Ridicat
1192,Ion V.,Vanzari,Mid,Brasov,2023-01-01,238,6,4.7,7,273.0,0.0,Stabil
1193,Cristina D.,Vanzari,Junior,Bucuresti,2023-01-01,151,10,1.5,33,205.5,0.0,Stabil
1194,Cristina D.,IT,Junior,Constanta,2023-01-01,236,13,4.8,2,344.0,0.0,Potential
1195,Mihai O.,IT,Mid,Brasov,2023-01-01,253,11,3.2,33,300.5,0.0,Potential
1196,Mihai O.,Marketing,Mid,Timisoara,2023-01-01,207,1,2.8,3,169.5,1.0,Risc Ridicat
1197,Mihai O.,IT,Junior,Constanta,2023-01-01,247,10,1.0,3,243.5,1.0,Risc Ridicat
1198,Mihai O.,HR,Mid,Timisoara,2023-01-01,235,5,2.1,6,209.5,1.0,Risc Ridicat
1199,Cristina D.,IT,Junior,Bucuresti,2023-01-01,234,7,3.2,4,251.0,0.0,Stabil
1000,Cristina D.,Marketing,Junior,Iasi,2023-02-01,206,10,4.9,6,301.0,0.0,Potential
1001,Ion V.,Vanzari,Junior,Cluj-Napoca,2023-02-01,257,2,4.4,24,236.5,0.0,Stabil
1002,Elena D.,IT,Senior,Constanta,2023-02-01,145,12,2.7,13,296.5,0.0,Stabil
1003,Ion V.,Vanzari,Mid,Sibiu,2023-02-01,259,12,4.1,15,331.5,0.0,Potential
1004,Cristina D.,Marketing,Mid,Iasi,2023-02-01,216,9,3.7,34,272.0,0.0,Stabil
1005,Ana S.,Vanzari,Mid,Cluj-Napoca,2023-02-01,191,5,1.7,15,179.5,0.0,Stabil
1006,Maria I.,Marketing,Mid,Sibiu,2023-02-01,179,14,3.4,3,297.5,0.0,Stabil
1007,Cristina D.,Marketing,Senior,Bucuresti,2023-02-01,182,8,4.7,18,315.0,0.0,Potential
1008,Mihai O.,HR,Mid,Brasov,2023-02-01,148,2,3.0,34,154.0,0.0,Stabil
1009,Ana S.,Vanzari,Junior,Bucuresti,2023-02-01,141,10,3.2,32,234.5,0.0,Stabil
1010,Ion V.,Marketing,Junior,Sibiu,2023-02-01,254,8,2.0,21,247.0,0.8,Risc Ridicat
1011,George R.,Vanzari,Senior,Brasov,2023-02-01,160,1,4.0,17,220.0,0.0,Stabil
1012,Ion V.,HR,Junior,Brasov,2023-02-01,190,12,3.0,15,275.0,0.0,Stabil
1013,Andrei P.,Marketing,Junior,Bucuresti,2023-02-01,241,2,2.1,10,182.5,1.0,Risc Ridicat
1014,Mihai O.,IT,Mid,Constanta,2023-02-01,157,14,4.8,23,314.5,0.0,Potential
1015,Maria I.,Marketing,Mid,Sibiu,2023-02-01,181,1,1.0,7,120.5,0.0,Stabil
1016,Maria I.,HR,Mid,Brasov,2023-02-01,154,1,2.0,19,127.0,0.0,Stabil
1017,Maria I.,Marketing,Mid,Sibiu,2023-02-01,162,5,1.7,9,165.0,0.0,Stabil
1018,Maria I.,Marketing,Mid,Bucuresti,2023-02-01,257,1,2.4,2,186.5,1.0,Risc Ridicat
1019,Ion V.,IT,Junior,Cluj-Napoca,2023-02-01,238,2,1.3,16,165.0,1.0,Risc Ridicat
1020,Andrei P.,Marketing,Senior,Iasi,2023-02-01,147,14,3.0,33,323.5,0.0,Potential
1021,Ion V.,Vanzari,Junior,Timisoara,2023-02-01,204,7,1.1,32,194.0,0.8,Risc Ridicat
1022,Ion V.,HR,Mid,Bucuresti,2023-02-01,146,12,4.2,32,277.0,0.0,Stabil
1023,Andrei P.,Vanzari,Senior,Iasi,2023-02-01,211,4,2.9,22,253.5,0.8,Risc Ridicat
1024,Cristina D.,Vanzari,Senior,Sibiu,2023-02-01,216,6,4.6,2,310.0,0.0,Potential
1025,Maria I.,IT,Mid,Iasi,2023-02-01,168,12,4.7,15,298.0,0.0,Stabil
1026,Ana S.,Marketing,Senior,Iasi,2023-02-01,206,14,4.7,18,387.0,0.0,Potential
1027,Mihai O.,Marketing,Mid,Timisoara,2023-02-01,218,6,3.5,30,239.0,0.0,Stabil
1028,George R.,Marketing,Mid,Brasov,2023-02-01,255,8,1.3,28,233.5,0.8,Risc Ridicat
1029,Ion V.,Marketing,Mid,Bucuresti,2023-02-01,201,9,2.5,25,240.5,0.8,Risc Ridicat
1030,Mihai O.,Vanzari,Junior,Cluj-Napoca,2023-02-01,206,9,4.3,0,279.0,0.0,Stabil
1031,Maria I.,IT,Mid,Iasi,2023-02-01,164,6,3.6,20,214.0,0.0,Stabil
1032,George R.,IT,Mid,Constanta,2023-02-01,155,7,2.0,29,187.5,0.0,Stabil
1033,Andrei P.,Marketing,Mid,Timisoara,2023-02-01,193,12,1.6,22,248.5,0.0,Stabil
1034,George R.,Vanzari,Junior,Brasov,2023-02-01,184,2,3.0,29,172.0,0.0,Stabil
1035,Maria I.,Marketing,Senior,Iasi,2023-02-01,189,1,3.9,30,232.5,0.0,Stabil
1036,Cristina D.,Vanzari,Junior,Bucuresti,2023-02-01,231,12,1.3,21,261.5,0.8,Risc Ridicat
1037,Maria I.,HR,Junior,Cluj-Napoca,2023-02-01,164,6,4.3,27,228.0,0.0,Stabil
1038,Mihai O.,IT,Mid,Cluj-Napoca,2023-02-01,239,6,3.0,1,239.5,0.0,Stabil
1039,Mihai O.,IT,Mid,Bucuresti,2023-02-01,168,4,2.8,34,180.0,0.0,Stabil
1040,Cristina D.,HR,Senior,Constanta,2023-02-01,182,12,4.9,9,359.0,0.0,Potential
1041,Elena D.,HR,Junior,Brasov,2023-02-01,244,12,2.0,30,282.0,0.8,Risc Ridicat
1042,Andrei P.,IT,Senior,Iasi,2023-02-01,226,14,3.6,35,375.0,0.0,Potential
1043,Andrei P.,IT,Junior,Iasi,2023-02-01,208,13,1.9,18,272.0,1.0,Risc Ridicat
1044,Ana S.,HR,Senior,Brasov,2023-02-01,248,4,4.4,4,302.0,0.0,Potential
1045,Andrei P.,IT,Senior,Timisoara,2023-02-01,242,4,4.1,1,293.0,0.0,Stabil
1046,George R.,IT,Senior,Brasov,2023-02-01,212,11,1.4,9,294.0,1.0,Risc Ridicat
1047,Cristina D.,Vanzari,Junior,Bucuresti,2023-02-01,159,5,3.6,15,201.5,0.0,Stabil
1048,Andrei P.,IT,Senior,Constanta,2023-02-01,142,11,3.2,19,295.0,0.0,Stabil
1049,Cristina D.,Vanzari,Mid,Constanta,2023-02-01,165,12,4.7,23,296.5,0.0,Stabil
1050,Andrei P.,Vanzari,Mid,Cluj-Napoca,2023-02-01,252,4,3.6,3,238.0,0.0,Stabil
1051,Mihai O.,Marketing,Junior,Brasov,2023-02-01,171,13,4.4,12,303.5,0.0,Potential
1052,Ana S.,HR,Senior,Timisoara,2023-02-01,241,2,2.6,27,242.5,0.8,Risc Ridicat
